sizeCode tube thread D J(threadDepth) K O P S U Y Z
01 1/8 5/16-24 UNF-2B 0.062 0.390 0.0740 .4380 .4680 .0620 .3580 .672 12
01 3/16 3/8-24 UNF-2B 0.125 0.390 0.0740 .5000 .4680 .0620 .4210 .750 12
01 1/4 7/16-20 UNF-2B 0.172 0.454 0.0930 .5630 .5470 .0620 .4870 .828 12
01 5/16 1/2-20 UNF-2B 0.234 0.454 0.0930 .6250 .5470 .0620 .550 .906 12
01 3/8 9/16-18 UNF-2B 0.297 0.500 0.0970 .6880 .6090 .0620 .6160 .969 12
01 1/2 3/4-16 UNF-2B 0.391 0.562 0.1000 .8750 .6880 .0940 .8111 .188 15
01 5/8 7/8-14 UNF-2B 0.484 0.656 0.100 1.0000 .7810 .0940 .9421 .344 15
01 3/4 1-1/16-12 UNF-2B 0.609 0.750 0.1301 .2500 .9060 .0941 .1481 .625 15
01 7/8 1-3/16-12 UNF-2B 0.719 0.750 0.1301 .3750 .9060 .0941 .2731 .765 15
01 1 1-5/16-12 UNF-2B 0.844 0.750 0.1301 .5000 .9060 .1251 .3981 .910 15
01 1-1/4 1-5/8-12 UNF-2B 1.078 0.750 0.1321 .8750 .9060 .1251 .7132 .270 15
