sizeCode Thread A B C F J K M N P T U W Y Z
02 .216-28 .3017 .0354 .015 .590 .602 .2550 .093 .1555 .2985 .1842 .3824 .617 .5000 3-7/8
03 .250-28 .3337 .0344 .015 .728 .663 .2870 .093 .1555 .2985 .2182 .4495 .678 .5000 3-7/8
04 .3125-24 .3867 .0325 .025 .797 .678 .3400 .093 .1555 .2985 .2749 .4965 .703 .5000 3-7/8
05 .375-24 .4487 .0323 .025 .924 .708 .4020 .093 .1555 .2985 .3374 .6025 .733 .5000 4
06 .4375-20 .5117 .0366 .066 .995 .734 .4650 .108 .1705 .3135 .3918 .6765 .800 .5000 4
08 .5625-18 .6297 .0358 .066 1.211 .798 .5830 .108 .1705 .3135 .5114 .7855 .864 .5000 4-1/8
10 .6875-24 .7727 .0380 .094 1.355 .828 .7260 .108 .1705 .3135 .6499 1.0165 .922 .7500 4-1/8
12 .8125-20 .9467 .0666 .120 1.643 .898 .9000 .108 .1705 .3455 .7668 1.1405 1.018 .7500 4-1/4
14 .9375-20 1.0773 .0698 .137 1.780 .935 1.0310 .108 .1705 .3455 .8913 1.3125 1.072 1.0000 4-3/8
16 1.125-18 1.2097 .0450 .137 1.930 1.008 1.1630 .108 .1705 .3455 1.0729 1.4285 1.145 1.0000 4-3/8
20 1.3125-18 1.4347 .0633 .137 2.298 1.040 1.3880 .135 .1975 .3775 1.2614 1.7515 1.177 1.0000 4-1/2
24 1.625-18 1.7117 .0455 .155 2.591 1.131 1.6650 .135 .1975 .3775 1.5739 2.0025 1.286 1.0000 4-5/8
32 2.125-16 2.2799 .0695 .155 3.500 1.338 2.2025 .135 .2385 .4185 2.0637 2.5192 1.493 1.0000 5
